Tuli	tuli	0		S	sg n
palki	palk	0		S	adt
     	@palk	0		S	sg p
3	3	0		N	?
sülda	süld	0		S	adt
     	@süld	0		S	sg p
pikk	pikk	0		A	sg n
10	10	0		N	?
tolli	toll	0		S	adt
     	toll	0		S	sg g
     	tolli	0		V	o
     	@toll	0		S	sg p
jäme	jäme	0		A	sg n
tüvest	tüvi	st		S	sg el
1	1	0		N	?
palki	palk	0		S	adt
     	@palk	0		S	sg p
3	3	0		N	?
sülda	süld	0		S	adt
     	@süld	0		S	sg p
pikk	pikk	0		A	sg n
11	11	0		N	?
tolli	toll	0		S	adt
     	toll	0		S	sg g
     	tolli	0		V	o
     	@toll	0		S	sg p
jäme	jäme	0		A	sg n
tüvest	tüvi	st		S	sg el
3	3	0		N	?
palki	palk	0		S	adt
     	@palk	0		S	sg p
4	4	0		N	?
sülda	süld	0		S	adt
     	@süld	0		S	sg p
pikk	pikk	0		A	sg n
10	10	0		N	?
tolli	toll	0		S	adt
     	toll	0		S	sg g
     	tolli	0		V	o
     	@toll	0		S	sg p
jäme	jäme	0		A	sg n
tüvest	tüvi	st		S	sg el
1	1	0		N	?
palki	palk	0		S	adt
     	@palk	0		S	sg p
4	4	0		N	?
sülda	süld	0		S	adt
     	@süld	0		S	sg p
pikk	pikk	0		A	sg n
9	9	0		N	?
tolli	toll	0		S	adt
     	toll	0		S	sg g
     	tolli	0		V	o
     	@toll	0		S	sg p
jäme	jäme	0		A	sg n
tüvest	tüvi	st		S	sg el
1	1	0		N	?
palki	palk	0		S	adt
     	@palk	0		S	sg p
3	3	0		N	?
sülda	süld	0		S	adt
     	@süld	0		S	sg p
pikk	pikk	0		A	sg n
15	15	0		N	?
tolli	toll	0		S	adt
     	toll	0		S	sg g
     	tolli	0		V	o
     	@toll	0		S	sg p
jäme	jäme	0		A	sg n
tüvest	tüvi	st		S	sg el
10	10	0		N	?
ladva	latv	0		S	sg g
puud	puu	d		S	pl n
    	puud	0		S	sg n
    	@puu	d		S	sg p
8	8	0		N	?
jalga	jalg	0		S	adt
     	@jalg	0		S	sg p
     	jalga	0		D	
pikk	pikk	0		A	sg n
6	6	0		N	?
tolli	toll	0		S	adt
     	toll	0		S	sg g
     	tolli	0		V	o
     	@toll	0		S	sg p
jäme	jäme	0		A	sg n
tüvest	tüvi	st		S	sg el
1	1	0		N	?
tüve	@tüvi	0		S	sg g
    	tüvi	0		S	sg p
tükk	tükk	0		S	sg n
1	1	0		N	?
1/2	1/2	0		N	?
süld	süld	0		S	sg n
pikk	pikk	0		A	sg n
6	6	0		N	?
tolli	toll	0		S	adt
     	toll	0		S	sg g
     	tolli	0		V	o
     	@toll	0		S	sg p
jäme	jäme	0		A	sg n
tüvest	tüvi	st		S	sg el
1	1	0		N	?
tüve	@tüvi	0		S	sg g
    	tüvi	0		S	sg p
tükk	tükk	0		S	sg n
7	7	0		N	?
jalg	jalg	0		S	sg n
pikk	pikk	0		A	sg n
16	16	0		N	?
tolli	toll	0		S	adt
     	toll	0		S	sg g
     	tolli	0		V	o
     	@toll	0		S	sg p
jäme	jäme	0		A	sg n
tüvest	tüvi	st		S	sg el
Peale	pea	le		S	sg all
     	peale	0		D	
     	@peale	0		K	
selle	@see	0		P	sg g
     	sell	e		S	pl p
olevad	olev	d		A	pl n
      	olev	d		S	pl n
	£ole	vad		V	vat
6	6	0		N	?
ehk	ehk	0		D	
   	@ehk	0		J	
7	7	0		N	?
penikest	peni=ke	t		S	sg p
	£peenike	t		S	sg p
kuuse	kuune	0		A	sg g
     	@kuusk	0		S	sg g
palki	palk	0		S	adt
     	@palk	0		S	sg p
juba	juba	0		D	
talve	talv	0		S	adt
     	@talv	0		S	sg g
     	tali	0		S	adt
     	tali	0		S	sg g
     	talv	0		S	sg p
     	tali	0		S	sg p
ära	@ära	0		D	
   	ära	0		V	neg o
varastud	####				
	#varasta	tud		V	tud
.	.			Z	
Jaan	@Jaan	0		H	sg n
    	jaan	0		S	sg n
    	jaan	0		Y	?
Murro	####				
	#Murro	0		H	sg n
sai	@saa	i		V	s
   	sai	0		S	sg n
selle	@see	0		P	sg g
     	sell	e		S	pl p
peale	pea	le		S	sg all
     	peale	0		D	
     	@peale	0		K	
ette	@ette	0		D	
    	ette	0		K	
    	esi	tte		S	adt
kutsutud	@kutsu	tud		V	tud
        	kutsutu	d		S	pl n
        	kutsutud	0		A	
        	kutsutud	0		A	sg n
        	kutsutud	d		A	pl n
ja	ja	0		J	
andis	and	is		V	s
küsimise	küsimine	0		S	sg g
peale	pea	le		S	sg all
     	peale	0		D	
     	@peale	0		K	
siin	@siin	0		D	
    	siin	0		S	sg n
üles	üles	0		D	
,	,			Z	
et	et	0		J	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
need	see	d		P	pl n
puud	@puu	d		S	pl n
    	puud	0		S	sg n
    	puu	d		S	sg p
ja	ja	0		J	
palgid	palk	d		S	pl n
keik	####				
	#kõik	0		P	pl n
Kuigatsi	####				
	#Kuigatsi	0		H	sg g
metsast	@mets	st		S	sg el
       	metsane	t		A	sg p
Kuldseppa	kuld_sepp	0		S	adt
         	kuld_sepp	0		S	sg p
	£Kuld_sepa	0		H	sg g
Davite	####				
	#David	0		H	sg g
käest	@käest	0		K	
     	käsi	st		S	sg el
toonud	@too	nud		V	nud
      	too=nu	d		S	pl n
      	too=nud	0		A	
      	too=nud	0		A	sg n
      	too=nud	d		A	pl n
,	,			Z	
ja	ja	0		J	
need	see	d		P	pl n
puu	@puu	0		S	sg g
   	puu	0		S	sg n
tükid	@tükk	d		S	pl n
     	tükki	d		V	d
,	,			Z	
mis	mis	0		P	pl n
   	@mis	0		P	sg n
senna	senna	0		S	sg g
     	senna	0		S	sg n
	£sinna	0		D	
laagres	####				
	#laager	s		S	sg ill
maha	maha	0		D	
jäinud	####				
	#jää	nud		V	nud
,	,			Z	
kus	kus	0		D	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
mõisale	mõis	le		S	sg all
puid	puu	id		S	pl p
ragunud	####				
	#raiu	nud		V	nud
,	,			Z	
pidanud	@pida	nud		V	nud
       	pida=nu	d		S	pl n
       	pida=nud	0		A	
       	pida=nud	0		A	sg n
       	pida=nud	d		A	pl n
tema	tema	0		P	sg g
    	@tema	0		P	sg n
metsavahi	metsa_vaht	0		S	sg g
ja	ja	0		J	
kubja	####				
	#kubjas	0		S	sg g
käso	####				
	#käsk	0		S	sg g
peale	pea	le		S	sg all
     	peale	0		D	
     	@peale	0		K	
keik	####				
	#kõik	0		P	sg n
teise	teine	0		O	adt
     	teine	0		O	sg g
     	teine	0		P	adt
     	@teine	0		P	sg g
koha	@koht	0		S	sg g
    	koha	0		S	sg g
    	koha	0		V	o
    	koha	0		S	sg n
    	koha	0		S	sg p
peale	pea	le		S	sg all
     	peale	0		D	
     	@peale	0		K	
ära	@ära	0		D	
   	ära	0		V	neg o
vedama	veda	ma		V	ma
,	,			Z	
ja	ja	0		J	
mõisa	mõis	0		S	sg g
metsast	@mets	st		S	sg el
       	metsane	t		A	sg p
tema	tema	0		P	sg g
    	@tema	0		P	sg n
mitte	mitte	0		D	
üks	@üks	0		N	sg n
   	üks	0		P	sg n
puu	puu	0		S	sg g
   	@puu	0		S	sg n
ega	ega	0		D	
   	@ega	0		J	
palk	palk	0		S	sg n
    	@palk	0		S	sg n
ei	ei	0		D	
  	@ei	0		V	neg
olevad	olev	d		A	pl n
      	olev	d		S	pl n
	£ole	vad		V	vat
toonud	@too	nud		V	nud
      	too=nu	d		S	pl n
      	too=nud	0		A	
      	too=nud	0		A	sg n
      	too=nud	d		A	pl n
,	,			Z	
kui	@kui	0		D	
   	kui	0		J	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
Viljandis	Viljandi	s		H	sg in
käinud	@käi	nud		V	nud
      	käi=nud	0		A	
      	käi=nud	0		A	sg n
      	käi=nud	d		A	pl n
      	käinu	d		S	pl n
,	,			Z	
siis	siis	0		D	
    	@siis	0		J	
olla	ole	a		V	da
tema	@tema	0		P	sg g
    	tema	0		P	sg n
sulane	@sulane	0		S	sg n
      	sulane	0		V	o
aga	aga	0		J	
1	1	0		N	?
palk	palk	0		S	sg n
    	@palk	0		S	sg n
enesele	ise	le		P	sg all
mõisa	mõis	0		S	sg g
metsast	@mets	st		S	sg el
       	metsane	t		A	sg p
toonud	@too	nud		V	nud
      	too=nu	d		S	pl n
      	too=nud	0		A	
      	too=nud	0		A	sg n
      	too=nud	d		A	pl n
.	.			Z	
Hans	Hans	0		H	sg n
Tätta	####				
	#Tätta	0		H	sg n
kui	kui	0		D	
   	@kui	0		J	
tunnistaja	tunnistaja	0		S	sg g
          	@tunnistaja	0		S	sg n
andis	and	is		V	s
siin	@siin	0		D	
    	siin	0		S	sg n
üles	üles	0		D	
,	,			Z	
et	et	0		J	
Oja	oja	0		S	sg g
   	oja	0		S	sg n
   	oja	0		S	sg p
	£Oja	0		H	sg g
Hans	Hans	0		H	sg n
temal	tema	l		P	sg ad
ütelnud	@ütle	nud		V	nud
       	ütel=nu	d		S	pl n
       	ütel=nud	0		A	
       	ütel=nud	0		A	sg n
       	ütel=nud	d		A	pl n
,	,			Z	
et	et	0		J	
Murro	####				
	#Murro	0		H	sg n
üle	üle	0		D	
   	@üle	0		K	
tema	@tema	0		P	sg g
    	tema	0		P	sg n
heinamaa	@heina_maa	0		S	sg g
        	heina_maa	0		S	sg n
palke	palk	e		S	pl p
vedanud	@veda	nud		V	nud
       	veda=nu	d		S	pl n
       	veda=nud	0		A	
       	veda=nud	0		A	sg n
       	veda=nud	d		A	pl n
,	,			Z	
ja	ja	0		J	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
jälge	jälg	0		S	adt
     	@jälg	0		S	sg p
mööda	mööda	0		A	
     	mööda	0		D	
     	@mööda	0		K	
järel	@järel	0		D	
     	järel	0		K	
läinud	läinu	d		S	pl n
      	läinud	0		A	
      	läinud	0		A	sg n
      	läinud	d		A	pl n
      	@mine	nud		V	nud
,	,			Z	
ja	ja	0		J	
need	see	d		P	pl n
jälled	####				
	#jälg	d		S	pl n
Murro	####				
	#Murro	0		H	sg g
usse	uss	e		S	pl p
	£uks	0		S	sg adt
läinud	läinu	d		S	pl n
      	läinud	0		A	
      	läinud	0		A	sg n
      	läinud	d		A	pl n
      	@mine	nud		V	nud
ja	ja	0		J	
neil	see	l		P	pl ad
    	@tema	l		P	pl ad
palkel	####				
	#palk	el		S	pl ad
keik	####				
	#kõik	0		P	pl n
tüve	@tüvi	0		S	sg g
    	tüvi	0		S	sg p
otsad	@ots	d		S	pl n
     	otsa	d		V	d
maha	maha	0		D	
olla	ole	a		V	da
lõigatud	@lõika	tud		V	tud
        	lõiga=tu	d		S	pl n
        	lõiga=tud	0		A	
        	lõiga=tud	0		A	sg n
        	lõiga=tud	d		A	pl n
ja	ja	0		J	
üks	@üks	0		N	sg n
   	üks	0		P	sg n
palk	palk	0		S	sg n
    	@palk	0		S	sg n
ning	ning	0		J	
üks	@üks	0		N	sg n
   	üks	0		P	sg n
ruhve	ruhv	e		S	pl p
	£ruhi	0		S	sg g
puu	puu	0		S	sg g
   	@puu	0		S	sg n
Murro	####				
	#Murro	0		H	sg g
ukse	uks	0		S	sg g
	£uks	0		S	sg adt
viitud	####				
	#vii	tud		V	tud
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
.	.			Z	
Jaan	@Jaan	0		H	sg n
    	jaan	0		S	sg n
    	jaan	0		Y	?
Napritson	####				
	#Napritson	0		H	sg n
tun	####				
	¤
.	.			Z	
siin	@siin	0		D	
    	siin	0		S	sg n
,	,			Z	
et	et	0		J	
Jaan	@Jaan	0		H	sg n
    	jaan	0		S	sg n
    	jaan	0		Y	?
Murrol	####				
	#Murro	l		H	sg ad
4	4	0		N	?
kuuse	kuune	0		A	sg g
     	@kuusk	0		S	sg g
ja	ja	0		J	
1	1	0		N	?
pedaja	pedajas	0		S	sg g
palk	palk	0		S	sg n
    	@palk	0		S	sg n
Kuldsepalt	kuld_sepp	lt		S	sg abl
	£Kuld_sepa	lt		H	sg abl
toodud	@too	dud		V	tud
      	toodu	d		S	pl n
      	toodud	0		A	
      	toodud	0		A	sg n
      	toodud	d		A	pl n
,	,			Z	
ja	ja	0		J	
muist	@muist	0		P	
     	muu	ist		P	pl el
juudi	juut	0		S	sg g
metsast	@mets	st		S	sg el
       	metsane	t		A	sg p
,	,			Z	
ja	ja	0		J	
see	see	0		P	sg n
vedamine	vedamine	0		S	sg n
2	2	0		N	?
nädalt	####				
	#nädal	t		S	sg p
enne	enne	0		D	
    	@enne	0		K	
    	enne	0		S	sg n
maarja	maarjas	0		S	sg g
	£maarja	0		S	sg g
pääva	####				
	#päev	0		S	sg p
arvata	@arva	ta		V	da
      	arva	ta		V	ta
      	arvata	0		D	
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
.	.			Z	
Tõnis	Tõnis	0		H	sg n
Park	park	0		S	sg n
	£Park	0		H	sg n
andis	and	is		V	s
siin	@siin	0		D	
    	siin	0		S	sg n
üles	üles	0		D	
,	,			Z	
et	et	0		J	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
ühe	üks	0		N	sg g
   	@üks	0		P	sg g
   	ühe	0		S	sg n
lühikese	lühike	0		A	sg g
palgi	palk	0		S	sg g
küll	@küll	0		D	
    	küll	0		S	sg n
mõisa	mõis	0		S	sg g
metsast	@mets	st		S	sg el
       	metsane	t		A	sg p
enesele	ise	le		P	sg all
toonud	@too	nud		V	nud
      	too=nu	d		S	pl n
      	too=nud	0		A	
      	too=nud	0		A	sg n
      	too=nud	d		A	pl n
,	,			Z	
ja	ja	0		J	
2	2	0		N	?
lõhandiko	####				
	#lõhandik	0		S	sg p
,	,			Z	
muust	@muu	st		P	sg el
     	muu	st		S	sg el
palgi	palk	0		S	sg g
toomisest	toomine	st		S	sg el
ei	ei	0		D	
  	@ei	0		V	neg
teadvad	teadev	d		A	pl n
	£tead	vad		V	vat
ta	tema	0		P	sg g
  	@tema	0		P	sg n
midagid	####				
	#miski	dagid		P	sg p
,	,			Z	
et	et	0		J	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
8	8	0		N	?
päeva	päev	0		S	adt
     	päev	0		S	sg g
     	@päev	0		S	sg p
vahel	vahe	l		S	sg ad
     	@vahel	0		D	
     	vahel	0		K	
ära	@ära	0		D	
   	ära	0		V	neg o
Märdiannil	####				
	#Märdianni	l		H	sg ad
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
,	,			Z	
ja	ja	0		J	
esimese	@esimene	0		O	sg g
       	esimene	0		P	sg g
kolme	kolm	0		N	adt
     	@kolm	0		N	sg g
     	kolm	0		N	sg p
päeva	päev	0		S	adt
     	@päev	0		S	sg g
     	päev	0		S	sg p
aial	aed	l		S	sg ad
	£aeg	l		S	sg ad
tema	tema	0		P	sg g
    	@tema	0		P	sg n
Märt	Märt	0		H	sg n
Sõlgiga	sõlg_iga	0		S	sg n
       	sõlg_iga	0		S	sg p
	£Sõlg	ga		H	sg kom
lühikesi	lühike	i		A	pl p
pakke	@pakk	e		S	pl p
     	pake	0		S	sg g
Kuldseppalt	####				
	#Kuld_sepa	lt		H	sg abl
toonud	@too	nud		V	nud
      	too=nu	d		S	pl n
      	too=nud	0		A	
      	too=nud	0		A	sg n
      	too=nud	d		A	pl n
,	,			Z	
ja	ja	0		J	
peremehe	pere_mees	0		S	sg g
hobuse	hobune	0		S	sg g
peal	pea	l		S	sg ad
    	peal	0		D	
    	@peal	0		K	
üks	@üks	0		N	sg n
   	üks	0		P	sg n
palk	palk	0		S	sg n
    	@palk	0		S	sg n
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
,	,			Z	
ja	ja	0		J	
need	see	d		P	pl n
pakud	@pakk	d		S	pl n
     	pakku	d		V	d
ja	ja	0		J	
puud	@puu	d		S	pl n
    	puud	0		S	sg n
    	puu	d		S	sg p
,	,			Z	
mis	mis	0		P	pl n
   	@mis	0		P	sg n
mõisa	mõis	0		S	sg g
metsa	@mets	0		S	adt
     	mets	0		S	sg g
     	mets	0		S	sg p
nende	see	de		P	pl g
     	@tema	de		P	pl g
puu	puu	0		S	sg g
   	@puu	0		S	sg n
laagres	####				
	#laager	s		S	sg ill
maha	maha	0		D	
jäänud	@jää	nud		V	nud
      	jäänu	d		S	pl n
      	jäänud	0		A	
      	jäänud	0		A	sg n
      	jäänud	d		A	pl n
olla	ole	a		V	da
märgit	####				
	#märki	t		V	tud
saanud	@saa	nud		V	nud
      	saa=nud	0		A	
      	saa=nud	0		A	sg n
      	saa=nud	d		A	pl n
      	saanu	d		S	pl n
,	,			Z	
et	et	0		J	
neid	neid	0		S	sg n
    	@see	d		P	pl p
    	tema	d		P	pl p
teisse	sina	sse		P	pl ill
      	tee	isse		S	pl ill
	£teine	sse		P	sg ill
kohta	@koht	0		S	adt
     	kohta	0		K	
     	kohta	0		V	o
     	koht	0		S	sg p
viiakse	vii	akse		V	takse
,	,			Z	
see	see	0		P	sg n
palk	palk	0		S	sg n
    	@palk	0		S	sg n
mis	mis	0		P	pl n
   	@mis	0		P	sg n
ta	tema	0		P	sg g
  	@tema	0		P	sg n
aga	aga	0		J	
välja	@välja	0		D	
     	välja	0		V	o
     	väli	0		S	adt
     	väli	0		S	sg g
     	väli	0		S	sg p
viinud	@vii	nud		V	nud
      	vii=nu	d		S	pl n
      	vii=nud	0		A	
      	vii=nud	0		A	sg n
      	vii=nud	d		A	pl n
,	,			Z	
olla	ole	a		V	da
ta	tema	0		P	sg g
  	@tema	0		P	sg n
enesele	ise	le		P	sg all
sängi	säng	0		S	adt
     	@säng	0		S	sg g
     	säng	0		S	sg p
tulbades	####				
	#tulp	des		S	pl tr
viinud	@vii	nud		V	nud
      	vii=nu	d		S	pl n
      	vii=nud	0		A	
      	vii=nud	0		A	sg n
      	vii=nud	d		A	pl n
ja	ja	0		J	
nüüd	nüüd	0		D	
purus	puru	s		S	sg in
	£puru	s		S	sg tr
lõhkunud	@lõhku	nud		V	nud
        	lõhku=nu	d		S	pl n
        	lõhku=nud	0		A	
        	lõhku=nud	0		A	sg n
        	lõhku=nud	d		A	pl n
.	.			Z	
Jaan	@Jaan	0		H	sg n
    	jaan	0		S	sg n
    	jaan	0		Y	?
Murro	####				
	#Murro	0		H	sg n
sai	@saa	i		V	s
   	sai	0		S	sg n
selle	@see	0		P	sg g
     	sell	e		S	pl p
peale	pea	le		S	sg all
     	peale	0		D	
     	@peale	0		K	
ette	@ette	0		D	
    	ette	0		K	
    	esi	tte		S	adt
kutsutud	@kutsu	tud		V	tud
        	kutsutu	d		S	pl n
        	kutsutud	0		A	
        	kutsutud	0		A	sg n
        	kutsutud	d		A	pl n
ja	ja	0		J	
andis	and	is		V	s
siin	@siin	0		D	
    	siin	0		S	sg n
üles	üles	0		D	
et	et	0		J	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
esiti	esiti	0		D	
4	4	0		N	?
palki	palk	0		S	adt
     	@palk	0		S	sg p
Kuldsepalt	kuld_sepp	lt		S	sg abl
	£Kuld_sepa	lt		H	sg abl
toonud	@too	nud		V	nud
      	too=nu	d		S	pl n
      	too=nud	0		A	
      	too=nud	0		A	sg n
      	too=nud	d		A	pl n
,	,			Z	
ja	ja	0		J	
teise	teine	0		O	adt
     	teine	0		O	sg g
     	teine	0		P	adt
     	@teine	0		P	sg g
talo	####				
	#talu	0		S	sg g
juure	juur	0		S	sg g
	£juurde	0		K	
viinud	@vii	nud		V	nud
      	vii=nu	d		S	pl n
      	vii=nud	0		A	
      	vii=nud	0		A	sg n
      	vii=nud	d		A	pl n
ja	ja	0		J	
teine	teine	0		O	sg n
     	@teine	0		P	sg n
kord	kord	0		D	
    	@kord	0		S	sg n
1	1	0		N	?
jäme	jäme	0		A	sg n
pedajas	@pedajas	0		S	sg n
       	pedajas	s		S	sg in
ja	ja	0		J	
2	2	0		N	?
kuust	kuu	st		S	sg el
     	kuune	t		A	sg p
	£kuusk	t		S	sg p
ja	ja	0		J	
Märt	Märt	0		H	sg n
Sõlg	sõlg	0		S	sg n
	£Sõlg	0		H	sg n
ka	ka	0		D	
toomas	too	mas		V	mas
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
ning	ning	0		J	
3	3	0		N	?
korda	kord	0		S	adt
     	korda	0		V	o
     	@kord	0		S	sg p
2	2	0		N	?
kuust	kuu	st		S	sg el
     	kuune	t		A	sg p
	£kuusk	t		S	sg p
toonud	@too	nud		V	nud
      	too=nu	d		S	pl n
      	too=nud	0		A	
      	too=nud	0		A	sg n
      	too=nud	d		A	pl n
.	.			Z	
Sel	@see	l		P	sg ad
   	sel	0		Y	?
11.	11.	0		O	?
mail	maa	il		S	pl ad
    	@mai	l		S	sg ad
    	mail	0		S	sg n
.	.			Z	
Juures	juur	s		S	sg in
      	@juures	0		D	
      	juures	0		K	
olid	ole	id		V	sid
,	,			Z	
J.	J.	0		Y	?
Säga	säga	0		S	sg g
    	säga	0		S	sg n
    	säga	0		S	sg p
	£Säga	0		H	sg n
,	,			Z	
H.	H.	0		Y	?
Laosson	####				
	#Laosson	0		H	sg n
,	,			Z	
H.	H.	0		Y	?
Märtson	####				
	#Märtson	0		H	sg n
.	.			Z	
Kuldsepa	kuld_sepp	0		S	sg g
	#Kuld_sepa	0		H	sg g
David	David	0		H	sg n
Kassik	####				
	#Kassik	0		H	sg n
oli	ole	i		V	s
tellimise	tellimine	0		S	sg g
peale	pea	le		S	sg all
     	peale	0		D	
     	@peale	0		K	
ette	@ette	0		D	
    	ette	0		K	
    	esi	tte		S	adt
tulnud	tul=nud	0		A	
      	tul=nud	0		A	sg n
      	tul=nud	d		A	pl n
      	@tule	nud		V	nud
      	tulnu	d		S	pl n
,	,			Z	
ja	ja	0		J	
andis	and	is		V	s
siin	@siin	0		D	
    	siin	0		S	sg n
üles	üles	0		D	
,	,			Z	
et	et	0		J	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
J.	J.	0		Y	?
Murrul	murd	l		S	sg ad
	£Murro	l		H	sg ad
4	4	0		N	?
palki	palk	0		S	adt
     	@palk	0		S	sg p
kodust	@kodu	st		S	sg el
      	kodune	t		A	sg p
annud	####				
	#and	nud		V	nud
ree	regi	0		S	sg g
tee	tee	0		S	sg g
   	tege	0		V	o
   	tee	0		S	sg n
	¤
aial	aed	l		S	sg ad
	¤
3	3	0		N	?
1/2	1/2	0		N	?
sülda	süld	0		S	adt
     	@süld	0		S	sg p
pikad	pikk	d		A	pl n
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
,	,			Z	
ladva	latv	0		S	sg g
palgid	palk	d		S	pl n
ja	ja	0		J	
vankrega	####				
	#vanker	ga		S	sg kom
toonud	@too	nud		V	nud
      	too=nu	d		S	pl n
      	too=nud	0		A	
      	too=nud	0		A	sg n
      	too=nud	d		A	pl n
2	2	0		N	?
tükki	tükk	0		S	adt
     	@tükk	0		S	sg p
     	tükki	0		D	
neid	neid	0		S	sg n
    	@see	d		P	pl p
    	tema	d		P	pl p
seltsi	selts	0		S	adt
      	selts	0		S	sg g
      	@seltsi	0		D	
      	seltsi	0		K	
      	seltsi	0		V	o
      	selts	0		S	sg p
,	,			Z	
ja	ja	0		J	
talve	talv	0		S	adt
     	@talv	0		S	sg g
     	tali	0		S	adt
     	tali	0		S	sg g
     	talv	0		S	sg p
     	tali	0		S	sg p
veel	@veel	0		D	
    	vesi	l		S	sg ad
Saare	@Saare	0		H	sg g
     	saar	0		S	sg g
     	Saare	0		H	sg n
Märdi	Märt	0		H	sg g
palki	palk	0		S	adt
     	palk	0		S	sg p
	£palk	0		S	 sg
latvu	latv	u		S	pl p
sealt	@sealt	0		D	
     	siga	lt		A	sg abl
     	siga	lt		S	sg abl
enesele	ise	le		P	sg all
toonud	@too	nud		V	nud
      	too=nu	d		S	pl n
      	too=nud	0		A	
      	too=nud	0		A	sg n
      	too=nud	d		A	pl n
kuuse	kuune	0		A	sg g
     	@kuusk	0		S	sg g
ja	ja	0		J	
pedaja	pedajas	0		S	sg g
puid	puu	id		S	pl p
,	,			Z	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
aga	aga	0		J	
nimelt	@nimelt	0		D	
      	nimi	lt		S	sg abl
ei	ei	0		D	
  	@ei	0		V	neg
teadvad	teadev	d		A	pl n
	£tead	vad		V	vat
,	,			Z	
kui	@kui	0		D	
   	kui	0		J	
paljo	####				
	#palju	0		D	
ja	ja	0		J	
2	2	0		N	?
